Temperature,Culture,Pot ID,Tree ID,Leaf number,chlorophyll,stomatal,leaf thickness,SPAD
Ambient,mono,1,1,1,0.82,98.8,0.13,40.234
Ambient,mono,1,1,2,0.82,87.2,0.11,48.521
Ambient,mono,1,1,3,0.84,71.2,0.19,43.927
Ambient,mono,4,13,1,0.8,179.5,0.54,37.437
Ambient,mono,4,13,2,0.75,112.4,,25.11
Ambient,mono,5,17,1,0.78,188.4,0.2,52.073
Ambient,mono,5,17,2,,316.8,0.18,44.021
Ambient,mono,5,17,3,0.73,108.9,0.41,46.388
Ambient,mixed,19,73,1,0.81,107.8,0.15,43.513
Ambient,mixed,19,73,2,0.79,61.5,0.33,43.609
Ambient,mixed,19,73,3,0.79,56.2,0.25,44.259
Ambient,mixed,13,49,1,0.8,119.5,0.11,49.333
Ambient,mixed,13,49,2,0.83,98.2,0.1,52.277
Ambient,mixed,13,49,3,,98.7,0.19,55.92
Ambient,mixed,20,77,1,0.82,74.4,0.2,49.181
Warmed,mono,7,25,1,0.81,138,0.15,44.201
Warmed,mono,7,25,2,0.81,108.5,0.5,41.649
Warmed,mono,7,25,3,0.81,93.9,0.09,
Warmed,mono,9,33,1,0.75,122,0.13,39.995
Warmed,mono,9,33,2,0.73,215.8,0.08,41.879
Warmed,mono,9,33,3,0.77,97.7,0.11,36.522
Warmed,mono,12,45,1,0.8,203,0.19,46.43
Warmed,mono,12,45,2,0.82,154.5,0.17,37.892
Warmed,mono,12,45,3,0.82,157.7,0.15,47.88
Warmed,mixed,22,85,1,0.82,108.6,0.13,45.545
Warmed,mixed,22,85,2,0.82,96,0.15,43.009
Warmed,mixed,22,85,3,0.82,187.3,0.17,42.229
Warmed,mixed,23,89,1,0.82,89.6,0.09,15.392
Warmed,mixed,23,89,2,0.78,106.1,0.08,41.313
Warmed,mixed,23,89,3,0.73,65.1,0.11,38.387
Warmed,mixed,31,121,1,0.79,73.5,0.13,45.949
